17.07.2023 12:48:12: Voltage:9,3;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,02;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:48:14: Voltage:9,69;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,68;MaxAmpere:26,17;MinAmpere:0,21
17.07.2023 12:48:16: Voltage:9,79;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,86;MaxAmpere:26,18;MinAmpere:0,21
17.07.2023 12:48:18: Voltage:9,6;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,07;MaxAmpere:26,18;MinAmpere:0,21
17.07.2023 12:48:20: Voltage:9,14;MaxVoltage:9,92;MinVoltage:0,07;Ampere:23,5;MaxAmpere:26,18;MinAmpere:0,21
17.07.2023 12:48:22: Voltage:8,21;MaxVoltage:9,92;MinVoltage:0,07;Ampere:20,86;MaxAmpere:26,18;MinAmpere:0,21
17.07.2023 12:48:24: Voltage:7,13;MaxVoltage:9,92;MinVoltage:0,07;Ampere:17,72;MaxAmpere:26,18;MinAmpere:0,21
17.07.2023 12:48:26: Voltage:5,85;MaxVoltage:9,92;MinVoltage:0,07;Ampere:14,46;MaxAmpere:26,18;MinAmpere:0,21
17.07.2023 12:48:28: Voltage:4,66;MaxVoltage:9,92;MinVoltage:0,07;Ampere:11,03;MaxAmpere:26,18;MinAmpere:0,21
17.07.2023 12:48:30: Voltage:3,37;MaxVoltage:9,92;MinVoltage:0,07;Ampere:7,63;MaxAmpere:26,18;MinAmpere:0,21
17.07.2023 12:48:32: Voltage:2,2;MaxVoltage:9,92;MinVoltage:0,07;Ampere:4,95;MaxAmpere:26,18;MinAmpere:0,21
17.07.2023 12:48:34: Voltage:1,26;MaxVoltage:9,92;MinVoltage:0,07;Ampere:2,59;MaxAmpere:26,18;MinAmpere:0,21
17.07.2023 12:48:36: Voltage:0,5;MaxVoltage:9,92;MinVoltage:0,07;Ampere:1,01;MaxAmpere:26,18;MinAmpere:0,21
17.07.2023 12:48:38: Voltage:0,21;MaxVoltage:9,92;MinVoltage:0,07;Ampere:0,34;MaxAmpere:26,18;MinAmpere:0,21
17.07.2023 12:48:40: Voltage:0,15;MaxVoltage:9,92;MinVoltage:0,07;Ampere:0,55;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:48:42: Voltage:0,56;MaxVoltage:9,92;MinVoltage:0,07;Ampere:2,02;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:48:44: Voltage:1,26;MaxVoltage:9,92;MinVoltage:0,07;Ampere:4,09;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:48:46: Voltage:2,14;MaxVoltage:9,92;MinVoltage:0,07;Ampere:6,52;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:48:48: Voltage:3,25;MaxVoltage:9,92;MinVoltage:0,07;Ampere:9,89;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:48:50: Voltage:4,5;MaxVoltage:9,92;MinVoltage:0,07;Ampere:13,11;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:48:52: Voltage:5,81;MaxVoltage:9,92;MinVoltage:0,07;Ampere:16,67;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:48:54: Voltage:7,06;MaxVoltage:9,92;MinVoltage:0,07;Ampere:19,93;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:48:56: Voltage:8,2;MaxVoltage:9,92;MinVoltage:0,07;Ampere:22,42;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:48:58: Voltage:9,12;MaxVoltage:9,92;MinVoltage:0,07;Ampere:24,43;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:00: Voltage:9,66;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,65;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:02: Voltage:9,91;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,94;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:04: Voltage:9,76;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,43;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:06: Voltage:9,26;MaxVoltage:9,92;MinVoltage:0,07;Ampere:23,77;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:08: Voltage:8,39;MaxVoltage:9,92;MinVoltage:0,07;Ampere:21,31;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:10: Voltage:7,34;MaxVoltage:9,92;MinVoltage:0,07;Ampere:18,68;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:12: Voltage:6,21;MaxVoltage:9,92;MinVoltage:0,07;Ampere:15,08;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:14: Voltage:4,88;MaxVoltage:9,92;MinVoltage:0,07;Ampere:11,69;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:16: Voltage:3,62;MaxVoltage:9,92;MinVoltage:0,07;Ampere:8,47;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:18: Voltage:2,38;MaxVoltage:9,92;MinVoltage:0,07;Ampere:5,23;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:20: Voltage:1,32;MaxVoltage:9,92;MinVoltage:0,07;Ampere:2,76;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:22: Voltage:0,63;MaxVoltage:9,92;MinVoltage:0,07;Ampere:1,2;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:24: Voltage:0,29;MaxVoltage:9,92;MinVoltage:0,07;Ampere:0,37;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:26: Voltage:0,12;MaxVoltage:9,92;MinVoltage:0,07;Ampere:0,41;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:28: Voltage:0,43;MaxVoltage:9,92;MinVoltage:0,07;Ampere:1,43;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:30: Voltage:0,96;MaxVoltage:9,92;MinVoltage:0,07;Ampere:3,35;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:32: Voltage:1,95;MaxVoltage:9,92;MinVoltage:0,07;Ampere:6,16;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:34: Voltage:3;MaxVoltage:9,92;MinVoltage:0,07;Ampere:9,01;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:36: Voltage:4,26;MaxVoltage:9,92;MinVoltage:0,07;Ampere:12,39;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:38: Voltage:5,6;MaxVoltage:9,92;MinVoltage:0,07;Ampere:16,05;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:40: Voltage:6,83;MaxVoltage:9,92;MinVoltage:0,07;Ampere:19,18;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:42: Voltage:7,99;MaxVoltage:9,92;MinVoltage:0,07;Ampere:21,93;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:44: Voltage:8,88;MaxVoltage:9,92;MinVoltage:0,07;Ampere:24,13;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:46: Voltage:9,51;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,54;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:48: Voltage:9,8;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,82;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:50: Voltage:9,78;MaxVoltage:9,92;MinVoltage:0,07;Ampere:25,38;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:53: Voltage:9,3;MaxVoltage:9,92;MinVoltage:0,07;Ampere:24,07;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:55: Voltage:8,54;MaxVoltage:9,92;MinVoltage:0,07;Ampere:22,11;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:57: Voltage:7,64;MaxVoltage:9,92;MinVoltage:0,07;Ampere:18,99;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:49:59: Voltage:6,38;MaxVoltage:9,92;MinVoltage:0,07;Ampere:16,01;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:01: Voltage:5,08;MaxVoltage:9,92;MinVoltage:0,07;Ampere:12,34;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:03: Voltage:3,91;MaxVoltage:9,92;MinVoltage:0,07;Ampere:9,22;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:05: Voltage:2,66;MaxVoltage:9,92;MinVoltage:0,07;Ampere:6,01;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:07: Voltage:1,61;MaxVoltage:9,92;MinVoltage:0,07;Ampere:3,25;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:09: Voltage:0,72;MaxVoltage:9,92;MinVoltage:0,07;Ampere:1,35;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:11: Voltage:0,23;MaxVoltage:9,92;MinVoltage:0,07;Ampere:0,36;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:13: Voltage:0,11;MaxVoltage:9,92;MinVoltage:0,07;Ampere:0,52;MaxAmpere:26,18;MinAmpere:0,19
17.07.2023 12:50:15: Voltage:0,31;MaxVoltage:9,92;MinVoltage:0,07;Ampere:1,46;MaxAmpere:26,18;MinAmpere:0,19
