11.07.2023 11:27:31: Voltage:0,01;MaxVoltage:0,02;Ampere:0;MaxAmpere:0;Temperature:0,02;MaxTemperature:0,02
11.07.2023 11:27:33: Voltage:0;MaxVoltage:0,02;Ampere:0;MaxAmpere:0;Temperature:0,01;MaxTemperature:0,02
11.07.2023 11:27:35: Voltage:0,02;MaxVoltage:0,02;Ampere:0;MaxAmpere:0;Temperature:0,01;MaxTemperature:0,02
11.07.2023 11:27:37: Voltage:0;MaxVoltage:0,02;Ampere:0;MaxAmpere:0;Temperature:0;MaxTemperature:0,02
11.07.2023 11:27:39: Voltage:0;MaxVoltage:0,02;Ampere:0;MaxAmpere:0;Temperature:0;MaxTemperature:0,02
11.07.2023 11:27:41: Voltage:0;MaxVoltage:0,02;Ampere:0;MaxAmpere:0;Temperature:0,01;MaxTemperature:0,02
11.07.2023 11:27:43: Voltage:0;MaxVoltage:0,02;Ampere:0;MaxAmpere:0;Temperature:0;MaxTemperature:0,02
11.07.2023 11:27:45: Voltage:0;MaxVoltage:0,02;Ampere:0;MaxAmpere:0;Temperature:0;MaxTemperature:0,02
11.07.2023 11:27:47: Voltage:0;MaxVoltage:0,02;Ampere:0;MaxAmpere:0;Temperature:0,01;MaxTemperature:0,02
11.07.2023 11:27:49: Voltage:0,01;MaxVoltage:0,02;Ampere:0;MaxAmpere:0;Temperature:0,01;MaxTemperature:0,02
11.07.2023 11:27:51: Voltage:0,01;MaxVoltage:0,02;Ampere:0;MaxAmpere:0;Temperature:0;MaxTemperature:0,02
11.07.2023 11:27:53: Voltage:0,01;MaxVoltage:0,02;Ampere:0;MaxAmpere:0;Temperature:0,01;MaxTemperature:0,02
11.07.2023 11:27:55: Voltage:0,01;MaxVoltage:5,56;Ampere:0;MaxAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:27:57: Voltage:0,01;MaxVoltage:5,56;Ampere:0;MaxAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:27:59: Voltage:0;MaxVoltage:5,56;Ampere:0;MaxAmpere:0;Temperature:0;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:01: Voltage:0;MaxVoltage:5,56;Ampere:0;MaxAmpere:0;Temperature:0;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:03: Voltage:0;MaxVoltage:5,56;Ampere:0;MaxAmpere:0;Temperature:0;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:05: Voltage:0;MaxVoltage:5,56;Ampere:0;MaxAmpere:0;Temperature:0;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:07: Voltage:0,01;MaxVoltage:5,56;Ampere:0;MaxAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:09: Voltage:0;MaxVoltage:5,56;Ampere:0;MaxAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:11: Voltage:5,56;MaxVoltage:5,57;Ampere:0;MaxAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:13: Voltage:5,57;MaxVoltage:5,57;Ampere:0;MaxAmpere:0;Temperature:0;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:15: Voltage:0,01;MaxVoltage:5,57;Ampere:0;MaxAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:17: Voltage:0;MaxVoltage:5,57;Ampere:0;MaxAmpere:0;Temperature:0;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:19: Voltage:0;MaxVoltage:5,57;Ampere:0;MaxAmpere:0;Temperature:0;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:21: Voltage:0;MaxVoltage:5,57;Ampere:0;MaxAmpere:0;Temperature:0;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:23: Voltage:0;MaxVoltage:5,57;Ampere:0;MaxAmpere:0;Temperature:0;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:25: Voltage:5,19;MaxVoltage:5,57;Ampere:0;MaxAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:27: Voltage:0;MaxVoltage:5,57;Ampere:0;MaxAmpere:0;Temperature:0,02;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:29: Voltage:0;MaxVoltage:5,57;Ampere:0;MaxAmpere:0;Temperature:0;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:31: Voltage:5,56;MaxVoltage:5,57;Ampere:0;MaxAmpere:0;Temperature:0;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:33: Voltage:5,56;MaxVoltage:5,57;Ampere:0;MaxAmpere:0;Temperature:0;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:35: Voltage:5,56;MaxVoltage:5,57;Ampere:0;MaxAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:37: Voltage:0,01;MaxVoltage:5,57;Ampere:0;MaxAmpere:0;Temperature:0;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:39: Voltage:0;MaxVoltage:5,57;Ampere:0;MaxAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinVoltage:0
11.07.2023 11:28:41: Voltage:0;MaxVoltage:5,57;Ampere:0;MaxAmpere:0;Te11.07.2023 11:43:54: 
11.07.2023 11:43:56: Voltage:0,01;MaxVoltage:0,01;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,01;MinTemperature:0
11.07.2023 11:43:58: Voltage:0;MaxVoltage:0,01;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,01;MinTemperature:0
11.07.2023 11:44:00: Voltage:0;MaxVoltage:0,01;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,01;MinTemperature:0
11.07.2023 11:44:02: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:04: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:06: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
11.07.2023 11:44:08: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
